Ticket ID,Timestamp,Category,Subcategory,Issue Description,Status,Escalated Time,Resolved Time,Assigned Group
TCKT-1001,2025-05-01T08:15:23,Hardware,Laptop,Laptop not powering on after overnight charging.,Resolved,2024-06-01T10:30:00,2025-06-05T12:45:00,IT Support
TCKT-1002,2025-05-01T09:05:11,Software,Email,"Unable to send emails via Outlook, error code 0x800CCC0E.",Resolved,,2025-06-05T09:45:00,Application Support
TCKT-1003,2025-05-01T09:22:45,Network,WiFi,Intermittent WiFi connectivity in conference room.,Open,,,Network Operations
TCKT-1004,2025-05-01T10:01:32,Hardware,Printer,Printer showing paper jam error despite no jam.,Resolved,,2025-06-05T11:10:00,IT Support
TCKT-1005,2025-05-01T10:15:09,Software,ERP,ERP system not loading dashboard for user.,Pending,2024-06-01T11:00:00,,Application Support
TCKT-1006,2025-05-01T10:45:27,Network,VPN,VPN connection drops after 5 minutes of use.,Open,,,Network Operations
TCKT-1007,2025-05-01T11:02:14,Hardware,Desktop,Desktop computer making loud fan noise.,Resolved,,2025-06-05T13:00:00,IT Support
TCKT-1008,2025-05-01T11:20:33,Software,Browser,Chrome browser crashing on startup.,Resolved,,2025-06-05T12:00:00,Application Support
TCKT-1009,2025-05-01T11:45:50,Network,LAN,"No network access on floor 3, all devices affected.",Escalated,2024-06-01T12:00:00,,Network Operations
TCKT-1010,2025-05-01T12:05:12,Hardware,Monitor,Monitor flickering intermittently.,Resolved,,2025-06-05T13:30:00,IT Support
TCKT-1011,2025-05-01T12:20:44,Software,Antivirus,Antivirus update failing with error code 104.,Open,,,Application Support
TCKT-1012,2025-05-01T12:45:19,Network,Firewall,Firewall blocking access to external website.,Resolved,,2025-06-05T14:00:00,Network Operations
TCKT-1013,2025-05-01T13:05:37,Hardware,Keyboard,Keyboard keys not responding.,Resolved,,2025-06-05T13:45:00,IT Support
TCKT-1014,2025-05-01T13:22:58,Software,Operating System,Windows update stuck at 45%.,Pending,,,Application Support
TCKT-1015,2025-05-01T13:40:16,Network,Switch,Network switch in server room not responding.,Escalated,2024-06-01T14:00:00,,Network Operations
TCKT-1016,2025-05-01T14:05:29,Hardware,Mouse,Mouse cursor not moving smoothly.,Resolved,,2025-06-05T14:30:00,IT Support
TCKT-1017,2025-05-01T14:22:41,Software,Database,Database query running slow for all users.,Escalated,2024-06-01T15:00:00,,Application Support
TCKT-1018,2025-05-01T14:45:53,Network,WAN,Slow internet speeds reported in branch office.,Open,,,Network Operations
TCKT-1019,2025-05-01T15:05:17,Hardware,Laptop,Laptop battery draining quickly.,Resolved,,2025-06-05T16:00:00,IT Support
TCKT-1020,2025-05-01T15:20:34,Software,Email,Spam emails not being filtered.,Open,,,Application Support
TCKT-1021,2025-05-01T15:45:02,Network,WiFi,WiFi password not accepted on mobile devices.,Resolved,,2025-06-05T16:10:00,Network Operations
TCKT-1022,2025-05-01T16:05:19,Hardware,Printer,Printer not connecting to network.,Pending,,,IT Support
TCKT-1023,2025-05-01T16:22:33,Software,ERP,ERP report generation failing for finance team.,Escalated,2024-06-01T17:00:00,,Application Support
TCKT-1024,2025-05-01T16:45:48,Network,VPN,Unable to connect to VPN from home.,Resolved,,2025-06-05T17:30:00,Network Operations
